#漢字	音標	解釋
多	tɔ24	多：～少
拖	tʰɔ34	拖：～拉机
他	tʰa34	他：其～
駝	tʰɔ214	驼：骆～
舵	tʰɔ24	舵：～手
大	tʰai51	大：～夫，～黄
挪	na214	挪：～用公款
哪	na31	哪：～里
哪	na214	哪：～吒
那	na31	那：～里；姓
羅	lɔ214	罗：姓
鑼	lɔ214	锣：～鼓
籮	lɔ214	箩：～筐
左	tsɔ31	左：～右
佐	tsɔ31	佐：辅～
歌	kɔ34	歌：唱～，～声
哥	kɔ34	哥：大～，学生～
個	kei51	个：两～，～别
個	kei34	个：我～（我的）
可	kʰɔ31	可：～能，许～证
蛾	ŋɔ214	蛾：飞～扑火
鵝	ŋɔ214	鹅：天～
俄	ŋɔ214	俄：～罗斯
我	ŋɔ24	我：自～[文]
我	ŋai31	我：涯，第一人称[白]
餓	ŋɔ51	饿：饥～
荷	hɔ214	荷：～花；薄～
荷	kʰai24	荷：挑，～担，～东西[白]
河	hɔ24	河：黄～
何	hɔ214	何：姓；如～
賀	hɔ51	贺：祝～，～礼
阿	a34	阿：～胶；～弥陀佛
阿	a34	阿：～爸
茄	kʰiɔ214	茄：茄子；番～
茄	ka34	茄：雪～
波	pɔ34	波：风～，～浪
菠	pɔ34	菠：～菜
跛	pei34	跛：～脚（跛足）[训]
簸	pɔ34	簸：～箕甲（蛇），～谷
簸	pɔ34	簸：颠～
頗	pɔ34	颇：～有心得，偏～
坡	pɔ34	坡：山～，～度
玻	pɔ34	玻：～璃
破	pʰɔ51	破：～坏
婆	pʰɔ214	婆：老～
薄	pʰɔk05	薄：～荷
魔	mɔ214	魔：～术，～鬼
磨	mɔ51	磨：～刀，水～[动]
磨	mɔ51	磨：～豆浆[动]
摩	mɔ214	摩：～擦，按～
磨	mɔ51	磨：石～[名]
朶	tɔ31	朵：一～花，花～
躱	tɔ31	躲：～避，～开
刴	tɔk05	剁：～猪肉，～肉丸[训]
妥	tʰɔ31	妥：～当
橢	tʰɔ51	椭：～圆
唾	tʰɔ51	唾：～弃，～液
惰	tʰɔ51	惰：～性
糯	nɔ51	糯：～米
騾	lɔ214	骡
