#漢字	音標	解釋
多	tɔu22	多：～少
拖	tʰɔu22	拖：～拉机
他	tʰa22	他：其～
駝	tʰɔu41	驼：骆～
舵	tʰɔu41	舵：～手
大	tʰai31	大：～夫，～黄
挪	na41	挪：～用公款
哪	na31	哪：～里
哪	na41	哪：～吒
那	na31	那：～里；姓
羅	lɔu41	罗：姓
鑼	lɔu41	锣：～鼓
籮	lɔu41	箩：～筐
左	ʦɔu31	左：～右
佐	ʦɔu31	佐：辅～
歌	kɔu22	歌：唱～，～声
哥	kɔu22	哥：大～，学生～
個	kai45	个：两～，～别
個	kei45	个：我～（我的）
可	kʰɔu31	可：～能，许～证
蛾	ŋɔu41	蛾：飞～扑火
鵝	ŋɔu41	鹅：天～
俄	ŋɔu41	俄：～罗斯
我	ŋɔu31	我：自～[文]
我	ŋai41	我：涯，第一人称[白]
餓	ŋɔu31	饿：饥～
荷	hɔu41	荷：～花；薄～
荷	kʰai22	荷：挑，～担，～东西[白]
河	hɔu41	河：黄～
何	hɔu41	何：姓；如～
賀	hɔu31	贺：祝～，～礼
阿	ɔu22	阿：～胶；～弥陀佛
阿	a22	阿：～爸
茄	ʧʰiɔu41	茄：茄子；番～
茄	ka22	茄：雪～
波	pɔu22	波：风～，～浪
菠	pɔu22	菠：～菜
跛	pei22	跛：～脚（跛足）[训]
簸	pɔi45	簸：～箕甲（蛇），～谷
坡	pɔu22	坡：山～，～度
玻	pɔu22	玻：～璃
破	pʰɔu45	破：～坏
婆	pʰɔu41	婆：老～
薄	pʰɔk4	薄：～荷
魔	mɔu41	魔：～术，～鬼
磨	nɔu41	磨：～刀，水～[动]
磨	mɔu31	磨：～豆浆[动]
摩	mɔu41	摩：～擦，按～
磨	mɔu31	磨：石～[名]
朶	tuŋ31	朵：一～花，花～
躱	tɔu31	躲：～避，～开
刴	tuk2	剁：～猪肉，～肉丸[训]
妥	tʰɔu45	妥：～当
橢	tʰɔu31	椭：～圆
惰	tʰɔu31	惰：～性
糯	nɔu31	糯：～米
騾	lɔu41	骡
螺	lɔu31	螺：田～
腡	lɔu41	脶：手指纹
囉	lɔu22	啰：喽～，～嗦
囉	lɔu41	啰：喽～，～嗦
裸	lɔu41	裸：～体
銼	ʦʰɔu45	锉：～刀
坐	ʦʰɔu22	坐：～车，～稳
座	ʦʰɔu22	座：～位
簑	sɔu22	蓑：棕～，～衣
梭	sɔu22	梭：穿～，～子蟹
唆	ʃiɔu41	唆：～使
鎖	sɔu31	锁：～匙
瑣	sɔu31	琐：～碎，烦～
戈	kʰɔu22	戈：干～，～壁
果	kɔu31	果：水～
裹	kɔu31	裹：包～
過	kɔu45	过：～去，～头
科	kʰɔu22	科：～学，文～
棵	kʰɔu22	棵：一～树
顆	kʰɔu22	颗：一～珍珠，～粒
課	kʰɔu45	课：上～
訛	ŋɔu41	讹：～诈，以～传～
臥	ŋɔu31	卧：～室，～铺
火	fɔu31	火：着～，～车
夥	fɔu31	伙：合～，～计
貨	fɔu45	货：～车，百～
和	fɔu41	和：～平，～气[文]
和	vɔu41	和：～尚[白]
禾	vɔu41	禾：割～，～苗
禍	fɔu31	祸：大～临头，～害
和	fɔu41	和：唱～，～诗
倭	vɔu22	倭：～寇
窩	vɔu22	窝：～囊废，～藏
瘸	pei22	瘸：不灵活，～手，～脚
靴	ʃiɔu22	靴：皮～
巴	pa22	巴：～掌，～结，～黎
芭	pa22	芭：～蕉，～蕾
疤	pa22	疤：伤～
把	pa31	把：～握，～脉
霸	pa45	霸：恶～，～王
壩	pa45	坝：堤，溪～
吧	pa22	吧：酒～
垻	pa45	坝：平地，湖洋～
爸	pa31	爸：爸爸
怕	pʰa45	怕：害怕，惊～
帕	pʰa45	帕：手～
爬	pʰa41	爬：～树
琶	pʰa41	琶：琵～
杷	pʰa41	杷：枇～
耙	pʰa41	耙：犁耙
麻	ma41	麻：天～，～烦
痲	ma41	痲：出～（得痳疹），～风
媽	ma22	妈：妈妈
媽	ma22	妈：～祖
馬	ma22	马：骑～，～虎
碼	ma22	码：～头，大～
罵	ma45	骂：～人
拿	na22	拿：～手，推～
茶	ʦʰa41	茶：～叶
楂	ʦa22	楂：山～
渣	ʦa22	渣：药～
詐	ʦa45	诈：～骗
榨	ʦa45	榨：～菜，～油
炸	ʦa45	炸：～药
叉	ʦʰa22	叉：刀～，～腰
杈	ʦʰa22	杈：桠～，树～
差	ʦʰa22	差：～别
岔	ʦʰa45	岔：～路，三～路口
査	ʦʰa41	查：调～
沙	sa22	沙：泥～，～漠
紗	sa22	纱：～布
灑	sa31	洒：～水
廈	ha31	厦：偏廈（厢房）
痧	sa22	痧：发～，刮～
家	ka22	家：老～，～庭
砂	sa22	砂：朱～，～纸
加	ka22	加：～工
痂	ka22	痂：结～
嘉	ka22	嘉：～宾
假	ka31	假：真～，～设
賈	ka31	贾：姓，～宝玉
假	ka31	假：放～，～期
架	ka45	架：书～
駕	ka45	驾：～驶证
嫁	ka45	嫁：～人
稼	ka45	稼：庄～，邓～先
價	ka45	价：～钱，～值
揢	kʰak4	揢：用虎口掐
牙	ŋa41	牙：～齿，刷～
芽	ŋa41	芽：豆～
衙	ŋa41	衙：～门
雅	ŋa41	雅：文～；～典（国名）
砑	ŋan41	砑：碾，～平，～碎
蝦	ha41	虾：鱼～，～公
嚇	hak2	吓：～人
霞	ha41	霞：晚～
下	ha22	下：～背，底～
下	ha31	下：取下，～下来
夏	ha31	夏：姓
廈	ha31	厦：～门，大～
下	ha31	下：～降，～流
夏	ha31	夏：春～秋冬
鴉	a22	鸦：老～，乌～，～片
丫	a22	丫：～鬟，～头
椏	a22	桠：～杈
啞	a31	哑：哑巴，～佬
亞	a22	亚：～洲，～军
姐	ʨia31	姐：小～[文]
姐	ʨi31	姐：姐姐[白]
借	ʨia45	借：～钱
且	ʨʰia31	且：而～，况～
笡	ʨʰia45	笡：斜，～～（歪斜的样子）
藉	ʨia45	藉：～故，～口
些	ɕia22	些：一～
寫	ɕia31	写：～字
瀉	ɕia45	泻：腹～，一～千里
卸	ɕia45	卸：～货，推～
邪	ɕia41	邪：～气，～门歪道
